row ID,row m/z,row retention time,Aludoviciana_pipe-APW.raw filtered Peak height,AmericanSpirit_pipe-APW.raw filtered Peak height,Auvaursi_pipe-APW.raw filtered Peak height,Blank_pipe-APW.raw filtered Peak height,Ceramic_Pipe_1-APW.raw filtered Peak height,Csericea_pipe-APW.raw filtered Peak height,Gshallon_pipe-APW.raw filtered Peak height,Linflata_pipe-APW.raw filtered Peak height,Nattenuata_pipe-APW.raw filtered Peak height,Nglauca_pipe-APW.raw filtered Peak height,Nobtusifolia_pipe-APW.raw filtered Peak height,Nquadrivalvis_pipe-APW.raw filtered Peak height,Nrustica_pipe-APW.raw filtered Peak height,Ntabacum_pipe-APW.raw filtered Peak height,Rglabra_pipe-APW.raw filtered Peak height,Ssonomensis_pipe-APW.raw filtered Peak height,Tbrevifolia_pipe-APW.raw filtered Peak height,Vthapsus_pipe-APW.raw filtered Peak height
142,153.1294098,3.626164615,7652,2476,7002,0,0,2480,11909,6669,2639,2924,3692,0,2684,2485,0,7018,4610,0
143,435.3329346,11.98164,7640,0,0,0,0,0,0,0,2288,0,0,3943,5171,0,0,0,0,0
144,410.8955566,0.64073468,7629,3260,7402,0,2318,3091,5234,5428,3632,3956,4681,3615,4330,4743,5477,5115,2490,5950
145,183.0806465,4.618295833,7551,2223,4588,0,0,0,5190,4148,2799,2254,3064,0,3857,0,3505,4257,0,7619
146,139.1195374,3.248598571,7525,2056,2025,0,0,0,0,7324,0,0,4266,0,0,0,2380,0,0,2398
147,179.1430461,4.328985556,7515,0,4024,0,0,0,5537,2911,0,2554,2399,0,0,0,7782,5158,2759,0
148,259.1289861,8.394290769,7483,3522,2236,0,0,0,5572,4405,5931,6292,7189,0,14604,2678,3613,0,0,6064
149,277.1615295,7.54057,7421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,426.3072815,11.2757,7380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3329
151,277.1615295,7.24963,7367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,445.3133443,11.30506667,7362,0,0,0,0,0,0,0,9861,2008,6789,5962,7596,0,0,0,0,0
153,473.3428243,11.6481,7335,0,0,0,0,0,0,0,0,3894,7617,6832,0,0,0,2961,0,2710
154,447.3252258,11.7211,7257,0,0,0,0,0,0,0,0,0,0,0,2466,0,0,0,0,0
155,228.1330078,6.476168,7247,0,4599,0,0,0,0,0,0,0,2898,0,0,0,0,3401,0,5697
156,170.0872498,4.655697,7221,0,2413,0,0,0,3814,3091,0,2038,3116,0,0,0,4339,7414,2762,9502
157,209.1431427,6.090533333,7194,0,0,0,0,0,0,2295,0,0,0,0,0,0,0,0,0,0
158,189.1280823,4.967678333,7186,0,4100,0,0,0,0,3246,2685,0,2568,0,2679,0,0,0,0,0
159,247.1233521,8.281465,7152,0,0,0,0,3943,0,0,0,0,0,0,0,0,0,0,0,0
160,239.1550217,6.6434075,7115,0,0,0,0,0,0,0,0,0,0,7465,2133,0,0,0,0,3567
161,169.1605835,4.059305833,6945,2126,3229,0,0,0,5546,5895,2768,2802,6287,3667,6557,2304,0,0,2636,0
162,201.1512909,11.2228,6930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,461.3480652,11.99104,6927,0,0,0,0,0,0,0,0,2821,2598,0,2519,0,0,0,0,2176
164,208.0747604,8.67871125,6925,0,0,0,0,0,2231,2073,2152,0,3440,0,3758,0,0,4062,0,3753
165,214.1322021,3.51707,6916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,444.3003723,11.1195,6915,0,0,0,0,0,0,0,7709,0,3526,0,15179,0,0,0,0,0
167,432.2802647,11.20181429,6909,0,0,0,0,0,0,0,5525,0,2006,0,3016,0,0,0,0,2307
168,475.3360596,12.0274,6907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,290.1994171,7.15454,6859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4739,0,0
170,211.1104546,5.45182625,6846,0,2093,0,0,0,2792,0,2243,0,0,0,2827,0,2145,4594,0,9006
171,179.1428135,3.966022857,6809,0,3730,0,0,2434,5846,3754,2382,2641,3256,2107,0,2270,8688,6917,2037,11629
172,422.3008753,11.87975,6780,0,0,0,0,0,0,0,6707,4800,4006,5626,3644,0,0,0,0,0
173,446.2088318,11.5665,6753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,328.298761,11.77164,6742,0,0,0,0,2038,0,0,0,0,0,0,0,0,0,0,0,7797
175,359.3185196,11.246275,6699,0,0,0,0,0,0,0,0,0,3848,0,0,0,0,4518,0,0
176,379.2673907,8.937964286,6695,0,0,0,0,0,13464,5666,0,4651,8661,0,0,0,0,12632,0,12380
177,430.2843399,10.7141,6685,0,0,0,0,0,0,0,0,3089,3072,0,0,0,0,0,0,3176
178,423.3338165,12.0305,6660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6268
179,227.1394297,6.766832222,6640,0,4428,0,0,0,4065,2503,0,0,2790,0,0,0,2099,4014,2025,6386
180,457.3130798,11.22583333,6614,0,0,0,0,0,0,0,5271,2803,7316,4320,6269,0,0,6031,0,3452
181,408.2820618,11.50526,6596,0,0,0,0,0,0,0,0,3516,5988,6888,0,0,0,3868,0,0
182,263.1385329,6.446648889,6578,0,7398,0,0,0,10479,0,0,3972,0,0,0,2096,13855,3646,3880,5429
183,209.1523956,7.978904,6567,3783,0,0,0,0,0,9324,0,2243,10698,2186,4382,0,0,17243,0,6686
184,213.1177864,5.78612,6517,0,0,0,0,0,0,0,2350,0,0,0,0,0,5029,0,0,0
185,434.3435059,11.8023,6488,0,0,0,0,0,0,0,0,0,2184,0,0,0,0,0,0,0
186,268.2522583,10.3686,6411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,379.2783247,8.770107143,6400,0,0,0,0,0,4539,2246,0,0,2331,2972,0,4446,0,4502,0,0
188,136.0671844,0.994064,6396,2088,3602,0,0,0,3000,0,0,0,2622,0,0,0,0,0,5773,0
189,139.1140442,2.712716154,6372,0,5395,0,0,0,7619,10315,2809,3094,4583,2085,2781,0,12555,9122,2787,22252
190,209.153656,7.669994,6344,0,0,0,0,0,0,4610,0,0,5653,0,0,0,0,7389,0,4224
191,201.0924683,7.89618,6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2376,0,0
192,181.1480306,5.078873333,6312,0,0,0,0,0,0,0,0,0,0,0,3287,0,0,0,0,2520
193,195.1357269,5.363781053,6307,9484,0,0,0,2506,10810,6716,12151,11150,5282,0,5107,4444,4482,59661,18031,90301
194,153.1294098,3.285907273,6300,0,5227,0,0,2603,7651,6590,2578,2229,3573,0,0,0,10845,6674,3028,0
195,421.3154755,11.8966,6297,0,0,0,0,0,0,0,0,0,4713,0,0,0,0,0,0,0
196,195.1723141,5.957083333,6295,7414,0,0,0,13564,0,0,13277,22619,20232,6277,25618,9340,0,0,18397,65706
197,320.8504578,0.6913133,6237,2153,2435,0,0,0,2925,2118,0,0,3943,3118,0,3950,4129,2923,0,0
198,169.0638452,3.9921964,6223,61085,5407,0,0,14495,40238,73560,37682,45409,40022,0,79782,5680,0,0,7837,0
199,174.0955811,8.29238,6155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,273.1261698,6.802375,6129,0,0,0,0,0,2721,0,0,2272,3079,0,0,0,0,5485,0,6838
201,395.3152008,11.8622625,6097,0,0,0,0,0,0,0,9729,0,0,0,0,0,0,4248,0,0
202,350.227478,10.9424,6037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,243.0913849,9.33572,6020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,282.0518188,0.593922333,5965,0,5400,5743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,239.1546844,6.79413,5937,0,0,0,0,0,0,0,0,0,0,6781,2251,0,0,2185,0,3358
206,229.1290453,9.745962222,5923,2842,0,0,0,0,4666,0,12036,0,2581,2520,2992,0,0,0,0,0
