row ID,row m/z,row retention time,116APW.raw filtered Peak height,116MTBE.raw filtered Peak height,116TA.raw filtered Peak height,Auvaursi_pipe-APW.raw filtered Peak height,Auvaursi_pipe-MTBE.raw filtered Peak height,Auvaursi_pipe-TA.raw filtered Peak height,Csericea_pipe-APW.raw filtered Peak height,Csericea_pipe-MTBE.raw filtered Peak height,Csericea_pipe-TA.raw filtered Peak height,Nattenuata_pipe-APW.raw filtered Peak height,Nattenuata_pipe-MTBE.raw filtered Peak height,Nattenuata_pipe-TA.raw filtered Peak height,Nquadrivalvis_pipe-APW.raw filtered Peak height,Nquadrivalvis_pipe-MTBE.raw filtered Peak height,Nquadrivalvis_pipe-TA.raw filtered Peak height,Nrustica_pipe-APW.raw filtered Peak height,Nrustica_pipe-MTBE.raw filtered Peak height,Nrustica_pipe-TA.raw filtered Peak height,Ntabacum_pipe-APW.raw filtered Peak height,Ntabacum_pipe-MTBE.raw filtered Peak height,Ntabacum_pipe-TA.raw filtered Peak height,Rglabra_pipe-APW.raw filtered Peak height,Rglabra_pipe-MTBE.raw filtered Peak height,Rglabra_pipe-TA.raw filtered Peak height,Tbrevifolia_pipe-APW.raw filtered Peak height,Tbrevifolia_pipe-MTBE.raw filtered Peak height,Tbrevifolia_pipe-TA.raw filtered Peak height,Blank_pipe-APW.raw filtered Peak height,Blank_pipe-MTBE.raw filtered Peak height,Blank_pipe-TA.raw filtered Peak height
79,736.4423218,5.68233,50024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,349.1639099,3.7747,49566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,305.1485413,3.404674,49161,0,12049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,240.2345657,10.2511,48805,0,11438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,780.4611206,5.8604,48310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,331.1360779,10.93515,48082,25822,24790,0,11031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13428,19803,0,0,0,0,0,0,0
85,363.234375,9.96928,47752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,697.3736572,5.50663,47325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,565.2919922,4.85935,47220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,265.1196899,6.21418,47160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,288.2625427,9.57095,46539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,397.2216797,11.3451,45830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,195.0957489,3.8166,45453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,441.2146606,8.67584,44951,0,10775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,525.2903442,4.93863,44931,0,14116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,183.1853374,4.702268636,44448,0,17145,17107,0,14172,0,0,0,14705,0,15643,19061,26997,15770,41078,0,35227,11839,0,12481,71185,11505,22176,17867,0,13641,0,0,0
95,455.2204997,9.16925,44361,63676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,569.3155518,5.17123,43790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,204.0672398,2.0812675,43312,0,45258,0,0,0,10044,0,14233,0,0,0,0,0,0,0,0,14918,0,0,0,60384,0,36130,0,0,0,0,0,0
98,177.1053772,1.537355,43010,0,44249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,283.1053772,10.45985,42600,26013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,146.0606893,3.312466667,41624,0,16488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142796,25823,42818,16768,0,10839,0,0,0
101,567.3175659,11.34565,41523,10137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,151.0261868,0.878165647,40849,18811,0,11132,0,55852,16309,0,67865,0,0,59729,0,0,50779,0,0,48383,0,0,59090,0,0,70454,0,0,53026,33755,0,71720
103,179.1532293,5.070682593,40402,0,0,34301,16821,22057,23640,0,12203,27991,0,21157,10208,23396,10328,27374,0,37788,12029,0,0,0,0,30142,26892,10078,18059,0,0,0
104,167.1548106,3.894117778,40098,0,16063,15066,0,15958,0,0,0,11525,0,12682,0,13340,0,0,0,18884,0,0,0,13234,0,0,0,0,0,0,0,0
105,214.9222361,0.621672,39932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,193.1677551,5.82898,39895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,585.3308716,11.3451,39542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,179.1534545,4.675342917,39498,0,10575,30943,12449,24624,22548,0,13193,18944,0,15841,0,15688,0,11754,0,29434,0,0,0,155432,81623,32821,26055,0,17249,0,0,0
109,697.3505859,5.49615,39340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,201.1414032,4.661922353,39308,0,13481,24311,0,15848,0,0,0,23396,0,17853,16965,16640,15215,37679,0,30015,10944,0,0,72547,26781,18355,17062,0,11454,0,0,0
111,193.1725718,5.747395556,39107,0,0,0,25127,23420,17305,0,0,29654,0,20226,0,36079,0,38021,0,38877,12402,12932,0,0,0,24191,29346,13516,16679,0,0,0
112,167.1543388,4.06377,38922,0,13292,17278,0,17523,0,0,0,14014,0,14592,0,0,0,0,0,19900,0,0,0,11518,0,0,0,0,0,0,0,0
113,331.1877441,9.42731,38437,63953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,647.3641968,10.0928,38073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,521.2563477,4.59748,37957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,608.3860474,5.38156,37859,0,13279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,604.3552246,5.08743,37712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,609.3231812,5.08743,36997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,163.0863647,3.180502,36240,0,15163,13498,0,12268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31348,0,0,0,0,0,0,0,0
120,217.1725889,5.02989,36018,0,11507,11491,0,0,0,0,0,13081,0,11306,11530,19813,0,30494,0,25951,11730,0,10334,49117,0,11205,0,0,0,0,0,0
121,239.1566467,6.6413,35629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,785.420105,5.8604,35413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,415.1738968,6.233285,35229,106740,14216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,215.1572324,5.216619231,35197,0,10294,21035,0,11977,0,0,0,12825,0,10293,0,13444,0,19823,0,14856,0,0,0,66534,32297,13958,15426,0,0,0,0,0
125,183.1854034,4.537870667,35010,0,13620,0,0,0,0,0,0,15294,0,15494,13274,15034,10293,36272,0,33300,0,0,0,41935,0,13870,10132,0,0,0,0,0
126,308.2214661,6.9346,34980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,741.378479,5.68233,34932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,173.1069619,3.406649048,34631,0,16946,18816,0,16814,0,0,0,25750,0,21980,10778,14581,10906,32406,0,31562,0,0,10060,53009,19142,11717,19706,0,17939,0,0,0
129,193.0979996,2.33154,34543,0,61189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,585.3203125,11.3451,34064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,268.2633667,11.7622,34018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,149.1011047,7.66332,34010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,613.3381348,5.38075,33815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
